2026-07-02T09:00:19+05:30 | API | service=api-gateway | user=trainer | ip=10.0.0.5 | GET /api/reports/export | status=204 | rt=262ms | risk=safe:10 | msg="GET /api/reports/export 204 in 262ms (next.js: 49ms, application-code: 168ms)"
2026-07-02T09:07:48+05:30 | WEB | service=auth-service | user=hr_user | ip=192.168.1.11 | GET /settings | status=200 | rt=928ms | risk=safe:12 | msg="GET /settings 200 in 928ms (next.js: 97ms, application-code: 900ms)"
2026-07-02T09:08:43+05:30 | WEB | service=auth-service | user=student01 | ip=172.16.0.21 | GET /SIEM-Learning-path | status=200 | rt=617ms | risk=safe:12 | msg="GET /SIEM-Learning-path 200 in 617ms (next.js: 71ms, application-code: 591ms)"
2026-07-02T09:09:44+05:30 | WEB | service=nextjs-app | user=api_bot | ip=192.168.1.11 | GET /profile | status=200 | rt=756ms | risk=safe:8 | msg="GET /profile 200 in 756ms (next.js: 85ms, application-code: 673ms)"
2026-07-02T09:09:49+05:30 | WEB | service=api-gateway | user=keerthi | ip=192.168.2.15 | GET /dashboard | status=204 | rt=775ms | risk=safe:22 | msg="GET /dashboard 204 in 775ms (next.js: 76ms, application-code: 748ms)"
2026-07-02T09:10:42+05:30 | API | service=nextjs-app | user=api_bot | ip=172.16.0.33 | DELETE /api/reports/export | status=200 | rt=798ms | risk=safe:23 | msg="DELETE /api/reports/export 200 in 798ms (next.js: 27ms, application-code: 704ms)"
2026-07-02T09:11:25+05:30 | WEB | service=api-gateway | user=guest | ip=172.16.0.21 | GET /courses | status=200 | rt=934ms | risk=safe:2 | msg="GET /courses 200 in 934ms (next.js: 53ms, application-code: 830ms)"
2026-07-02T09:11:37+05:30 | WEB | service=auth-service | user=manager | ip=192.168.1.11 | GET /settings | status=200 | rt=856ms | risk=safe:20 | msg="GET /settings 200 in 856ms (next.js: 33ms, application-code: 807ms)"
2026-07-02T09:12:21+05:30 | WEB | service=auth-service | user=api_bot | ip=192.168.1.11 | GET /profile | status=200 | rt=788ms | risk=safe:21 | msg="GET /profile 200 in 788ms (next.js: 20ms, application-code: 761ms)"
2026-07-02T09:13:00+05:30 | WEB | service=nextjs-app | user=support | ip=172.16.0.21 | GET /billing | status=304 | rt=305ms | risk=safe:12 | msg="GET /billing 304 in 305ms (next.js: 11ms, application-code: 302ms)"
2026-07-02T09:13:27+05:30 | WEB | service=auth-service | user=support | ip=192.168.1.10 | GET /login | status=200 | rt=412ms | risk=safe:8 | msg="GET /login 200 in 412ms (next.js: 47ms, application-code: 327ms)"
2026-07-02T09:13:55+05:30 | WEB | service=nextjs-app | user=api_bot | ip=10.0.0.5 | GET /reports | status=301 | rt=835ms | risk=safe:19 | msg="GET /reports 301 in 835ms (next.js: 39ms, application-code: 724ms)"
2026-07-02T09:15:04+05:30 | API | service=api-gateway | user=analyst | ip=192.168.2.15 | GET /api/grad2it-aws/get-recordings-url | status=301 | rt=880ms | risk=safe:25 | msg="GET /api/grad2it-aws/get-recordings-url 301 in 880ms (next.js: 72ms, application-code: 835ms)"
2026-07-02T09:15:45+05:30 | API | service=api-gateway | user=analyst | ip=10.0.0.8 | DELETE /api/grad2it-aws/get-recordings-url | status=200 | rt=759ms | risk=safe:15 | msg="DELETE /api/grad2it-aws/get-recordings-url 200 in 759ms (next.js: 67ms, application-code: 668ms)"
2026-07-02T09:16:01+05:30 | API | service=nextjs-app | user=john | ip=10.0.0.5 | PUT /api/get-token | status=200 | rt=894ms | risk=safe:19 | msg="PUT /api/get-token 200 in 894ms (next.js: 30ms, application-code: 777ms)"
2026-07-02T09:16:44+05:30 | API | service=nextjs-app | user=trainer | ip=192.168.1.12 | POST /api/get-token | status=201 | rt=827ms | risk=safe:8 | msg="POST /api/get-token 201 in 827ms (next.js: 27ms, application-code: 720ms)"
2026-07-02T09:17:02+05:30 | API | service=api-gateway | user=admin | ip=10.0.0.5 | POST /api/credits-based/get_usd_cost | status=200 | rt=221ms | risk=safe:7 | msg="POST /api/credits-based/get_usd_cost 200 in 221ms (next.js: 12ms, application-code: 146ms)"
2026-07-02T09:17:10+05:30 | API | service=api-gateway | user=john | ip=172.16.0.21 | POST /api/community-members-showcase/verify-hr | status=304 | rt=426ms | risk=safe:22 | msg="POST /api/community-members-showcase/verify-hr 304 in 426ms (next.js: 106ms, application-code: 322ms)"
2026-07-02T09:17:34+05:30 | WEB | service=nextjs-app | user=guest | ip=192.168.1.11 | GET /reports | status=200 | rt=219ms | risk=safe:5 | msg="GET /reports 200 in 219ms (next.js: 5ms, application-code: 164ms)"
2026-07-02T09:18:48+05:30 | API | service=api-gateway | user=devops | ip=192.168.2.15 | PATCH /api/lab-proxy | status=200 | rt=795ms | risk=safe:7 | msg="PATCH /api/lab-proxy 200 in 795ms (next.js: 85ms, application-code: 778ms)"
2026-07-02T09:19:43+05:30 | API | service=auth-service | user=hr_user | ip=172.16.0.21 | PATCH /api/verify-admin-access | status=200 | rt=50ms | risk=safe:14 | msg="PATCH /api/verify-admin-access 200 in 50ms (next.js: 83ms, application-code: 1ms)"
2026-07-02T09:20:54+05:30 | API | service=api-gateway | user=analyst | ip=10.0.0.8 | GET /api/payment | status=200 | rt=345ms | risk=safe:3 | msg="GET /api/payment 200 in 345ms (next.js: 65ms, application-code: 308ms)"
2026-07-02T09:22:07+05:30 | API | service=auth-service | user=api_bot | ip=192.168.1.10 | DELETE /api/grad2it-aws/get-recordings-url | status=301 | rt=447ms | risk=safe:15 | msg="DELETE /api/grad2it-aws/get-recordings-url 301 in 447ms (next.js: 36ms, application-code: 381ms)"
2026-07-02T09:22:11+05:30 | API | service=api-gateway | user=analyst | ip=172.16.0.21 | POST /api/grad2it-aws/get-recordings-url | status=200 | rt=439ms | risk=safe:20 | msg="POST /api/grad2it-aws/get-recordings-url 200 in 439ms (next.js: 28ms, application-code: 339ms)"
2026-07-02T09:22:36+05:30 | WEB | service=auth-service | user=student01 | ip=172.16.0.33 | GET /profile | status=200 | rt=731ms | risk=safe:1 | msg="GET /profile 200 in 731ms (next.js: 107ms, application-code: 613ms)"
2026-07-02T09:23:09+05:30 | API | service=api-gateway | user=support | ip=172.16.0.21 | PUT /api/payment | status=301 | rt=301ms | risk=safe:22 | msg="PUT /api/payment 301 in 301ms (next.js: 56ms, application-code: 216ms)"
2026-07-02T09:24:00+05:30 | WEB | service=nextjs-app | user=manager | ip=192.168.2.15 | GET /learning-paths | status=200 | rt=76ms | risk=safe:19 | msg="GET /learning-paths 200 in 76ms (next.js: 87ms, application-code: 1ms)"
2026-07-02T09:24:33+05:30 | API | service=api-gateway | user=hr_user | ip=172.16.0.21 | PATCH /api/auth | status=204 | rt=821ms | risk=safe:21 | msg="PATCH /api/auth 204 in 821ms (next.js: 7ms, application-code: 805ms)"
2026-07-02T09:24:56+05:30 | WEB | service=auth-service | user=finance_user | ip=192.168.1.10 | GET /settings | status=200 | rt=116ms | risk=safe:16 | msg="GET /settings 200 in 116ms (next.js: 106ms, application-code: 35ms)"
2026-07-02T09:26:16+05:30 | API | service=api-gateway | user=student01 | ip=192.168.1.11 | PATCH /api/upload | status=304 | rt=206ms | risk=safe:2 | msg="PATCH /api/upload 304 in 206ms (next.js: 90ms, application-code: 144ms)"
2026-07-02T09:26:33+05:30 | WEB | service=auth-service | user=api_bot | ip=10.0.0.5 | GET /reports | status=200 | rt=779ms | risk=safe:8 | msg="GET /reports 200 in 779ms (next.js: 51ms, application-code: 734ms)"
2026-07-02T09:27:11+05:30 | WEB | service=nextjs-app | user=guest | ip=172.16.0.33 | GET /reports | status=304 | rt=427ms | risk=safe:14 | msg="GET /reports 304 in 427ms (next.js: 7ms, application-code: 420ms)"
2026-07-02T09:28:16+05:30 | API | service=auth-service | user=guest | ip=172.16.0.21 | DELETE /api/grad2it-aws/community-members | status=200 | rt=311ms | risk=safe:24 | msg="DELETE /api/grad2it-aws/community-members 200 in 311ms (next.js: 117ms, application-code: 194ms)"
2026-07-02T09:29:23+05:30 | WEB | service=api-gateway | user=student01 | ip=192.168.1.10 | GET /admin | status=200 | rt=170ms | risk=safe:24 | msg="GET /admin 200 in 170ms (next.js: 46ms, application-code: 125ms)"
2026-07-02T09:30:37+05:30 | WEB | service=nextjs-app | user=student02 | ip=172.16.0.21 | GET /admin | status=201 | rt=333ms | risk=safe:16 | msg="GET /admin 201 in 333ms (next.js: 120ms, application-code: 303ms)"
2026-07-02T09:31:10+05:30 | WEB | service=nextjs-app | user=student02 | ip=192.168.1.11 | GET /settings | status=200 | rt=119ms | risk=safe:9 | msg="GET /settings 200 in 119ms (next.js: 51ms, application-code: 72ms)"
2026-07-02T09:32:08+05:30 | WEB | service=api-gateway | user=admin | ip=10.0.0.8 | GET /reports | status=200 | rt=512ms | risk=safe:13 | msg="GET /reports 200 in 512ms (next.js: 42ms, application-code: 440ms)"
2026-07-02T09:32:39+05:30 | API | service=api-gateway | user=hr_user | ip=192.168.1.12 | POST /api/community-members-showcase/verify-hr | status=200 | rt=541ms | risk=safe:9 | msg="POST /api/community-members-showcase/verify-hr 200 in 541ms (next.js: 92ms, application-code: 511ms)"
2026-07-02T09:32:43+05:30 | WEB | service=auth-service | user=analyst | ip=192.168.2.15 | GET /profile | status=200 | rt=940ms | risk=safe:5 | msg="GET /profile 200 in 940ms (next.js: 106ms, application-code: 926ms)"
2026-07-02T09:32:55+05:30 | WEB | service=api-gateway | user=admin | ip=192.168.1.10 | GET /reports | status=301 | rt=313ms | risk=safe:21 | msg="GET /reports 301 in 313ms (next.js: 88ms, application-code: 290ms)"
2026-07-02T09:33:52+05:30 | API | service=auth-service | user=john | ip=192.168.1.10 | DELETE /api/payment | status=201 | rt=688ms | risk=safe:17 | msg="DELETE /api/payment 201 in 688ms (next.js: 67ms, application-code: 642ms)"
2026-07-02T09:35:09+05:30 | API | service=nextjs-app | user=api_bot | ip=172.16.0.33 | GET /api/get-token | status=200 | rt=717ms | risk=safe:1 | msg="GET /api/get-token 200 in 717ms (next.js: 30ms, application-code: 680ms)"
2026-07-02T09:35:58+05:30 | WEB | service=api-gateway | user=finance_user | ip=192.168.1.11 | GET /login | status=204 | rt=810ms | risk=safe:14 | msg="GET /login 204 in 810ms (next.js: 76ms, application-code: 742ms)"
2026-07-02T09:37:02+05:30 | API | service=nextjs-app | user=trainer | ip=192.168.1.10 | PATCH /api/verify-admin-access | status=200 | rt=41ms | risk=safe:2 | msg="PATCH /api/verify-admin-access 200 in 41ms (next.js: 89ms, application-code: 34ms)"
2026-07-02T09:38:00+05:30 | API | service=api-gateway | user=manager | ip=192.168.1.12 | PUT /api/credits-based/user_wallet | status=204 | rt=675ms | risk=safe:4 | msg="PUT /api/credits-based/user_wallet 204 in 675ms (next.js: 42ms, application-code: 607ms)"
2026-07-02T09:39:10+05:30 | WEB | service=api-gateway | user=hr_user | ip=192.168.1.11 | GET /courses | status=200 | rt=534ms | risk=safe:25 | msg="GET /courses 200 in 534ms (next.js: 46ms, application-code: 487ms)"
2026-07-02T09:40:21+05:30 | WEB | service=api-gateway | user=student02 | ip=192.168.1.11 | GET /reports | status=200 | rt=879ms | risk=safe:1 | msg="GET /reports 200 in 879ms (next.js: 16ms, application-code: 791ms)"
2026-07-02T09:41:22+05:30 | API | service=nextjs-app | user=support | ip=10.0.0.5 | POST /api/payment | status=200 | rt=919ms | risk=safe:5 | msg="POST /api/payment 200 in 919ms (next.js: 81ms, application-code: 819ms)"
2026-07-02T09:42:06+05:30 | WEB | service=auth-service | user=admin | ip=192.168.2.15 | GET /settings | status=200 | rt=208ms | risk=safe:13 | msg="GET /settings 200 in 208ms (next.js: 70ms, application-code: 143ms)"
2026-07-02T09:42:51+05:30 | WEB | service=auth-service | user=finance_user | ip=192.168.2.15 | GET /learning-paths | status=200 | rt=107ms | risk=safe:8 | msg="GET /learning-paths 200 in 107ms (next.js: 49ms, application-code: 82ms)"
2026-07-02T09:43:11+05:30 | API | service=auth-service | user=trainer | ip=172.16.0.21 | PATCH /api/grad2it-aws/get-recordings-url | status=200 | rt=206ms | risk=safe:12 | msg="PATCH /api/grad2it-aws/get-recordings-url 200 in 206ms (next.js: 47ms, application-code: 198ms)"
2026-07-02T09:44:14+05:30 | WEB | service=auth-service | user=trainer | ip=10.0.0.5 | GET /learning-paths | status=200 | rt=778ms | risk=safe:21 | msg="GET /learning-paths 200 in 778ms (next.js: 12ms, application-code: 707ms)"
2026-07-02T09:45:22+05:30 | API | service=auth-service | user=keerthi | ip=192.168.1.10 | PATCH /api/profile | status=201 | rt=852ms | risk=safe:20 | msg="PATCH /api/profile 201 in 852ms (next.js: 52ms, application-code: 809ms)"
2026-07-02T09:46:23+05:30 | WEB | service=auth-service | user=manager | ip=172.16.0.33 | GET /settings | status=200 | rt=223ms | risk=safe:1 | msg="GET /settings 200 in 223ms (next.js: 61ms, application-code: 206ms)"
2026-07-02T09:47:31+05:30 | WEB | service=nextjs-app | user=trainer | ip=172.16.0.33 | GET /billing | status=200 | rt=825ms | risk=safe:11 | msg="GET /billing 200 in 825ms (next.js: 76ms, application-code: 712ms)"
2026-07-02T09:48:07+05:30 | WEB | service=nextjs-app | user=student02 | ip=172.16.0.21 | GET /login | status=200 | rt=326ms | risk=safe:5 | msg="GET /login 200 in 326ms (next.js: 35ms, application-code: 233ms)"
2026-07-02T09:49:23+05:30 | WEB | service=api-gateway | user=trainer | ip=192.168.1.10 | GET /profile | status=200 | rt=817ms | risk=safe:6 | msg="GET /profile 200 in 817ms (next.js: 89ms, application-code: 748ms)"
2026-07-02T09:50:21+05:30 | API | service=auth-service | user=support | ip=192.168.1.11 | PUT /api/grad2it-aws/community-members | status=200 | rt=270ms | risk=safe:18 | msg="PUT /api/grad2it-aws/community-members 200 in 270ms (next.js: 23ms, application-code: 168ms)"
2026-07-02T09:50:55+05:30 | WEB | service=nextjs-app | user=devops | ip=192.168.1.11 | GET /billing | status=200 | rt=587ms | risk=safe:22 | msg="GET /billing 200 in 587ms (next.js: 73ms, application-code: 488ms)"
2026-07-02T09:51:31+05:30 | WEB | service=auth-service | user=api_bot | ip=10.0.0.8 | GET /dashboard | status=200 | rt=412ms | risk=safe:18 | msg="GET /dashboard 200 in 412ms (next.js: 84ms, application-code: 324ms)"
2026-07-02T09:52:49+05:30 | WEB | service=api-gateway | user=api_bot | ip=192.168.1.11 | GET /profile | status=200 | rt=497ms | risk=safe:22 | msg="GET /profile 200 in 497ms (next.js: 28ms, application-code: 486ms)"
2026-07-02T09:53:33+05:30 | WEB | service=api-gateway | user=admin | ip=172.16.0.33 | GET /settings | status=200 | rt=133ms | risk=safe:5 | msg="GET /settings 200 in 133ms (next.js: 23ms, application-code: 36ms)"
2026-07-02T09:53:59+05:30 | WEB | service=nextjs-app | user=keerthi | ip=10.0.0.8 | GET /login | status=200 | rt=179ms | risk=safe:14 | msg="GET /login 200 in 179ms (next.js: 36ms, application-code: 110ms)"
2026-07-02T09:54:21+05:30 | API | service=api-gateway | user=analyst | ip=192.168.1.11 | DELETE /api/payment | status=200 | rt=700ms | risk=safe:4 | msg="DELETE /api/payment 200 in 700ms (next.js: 60ms, application-code: 697ms)"
2026-07-02T09:54:28+05:30 | WEB | service=auth-service | user=trainer | ip=192.168.1.10 | GET /courses | status=200 | rt=760ms | risk=safe:23 | msg="GET /courses 200 in 760ms (next.js: 71ms, application-code: 671ms)"
2026-07-02T09:55:43+05:30 | API | service=nextjs-app | user=john | ip=192.168.1.12 | PUT /api/upload | status=304 | rt=672ms | risk=safe:1 | msg="PUT /api/upload 304 in 672ms (next.js: 76ms, application-code: 642ms)"
2026-07-02T09:56:30+05:30 | API | service=api-gateway | user=student02 | ip=172.16.0.33 | POST /api/settings | status=301 | rt=202ms | risk=safe:8 | msg="POST /api/settings 301 in 202ms (next.js: 119ms, application-code: 188ms)"
2026-07-02T09:57:23+05:30 | WEB | service=nextjs-app | user=keerthi | ip=192.168.2.15 | GET /learning-paths | status=200 | rt=367ms | risk=safe:20 | msg="GET /learning-paths 200 in 367ms (next.js: 100ms, application-code: 312ms)"
2026-07-02T09:57:51+05:30 | API | service=api-gateway | user=api_bot | ip=192.168.1.11 | PUT /api/credits-based/user_wallet | status=304 | rt=526ms | risk=safe:21 | msg="PUT /api/credits-based/user_wallet 304 in 526ms (next.js: 73ms, application-code: 440ms)"
2026-07-02T09:58:19+05:30 | API | service=nextjs-app | user=support | ip=192.168.1.11 | PUT /api/profile | status=200 | rt=48ms | risk=safe:13 | msg="PUT /api/profile 200 in 48ms (next.js: 29ms, application-code: 5ms)"
2026-07-02T09:59:04+05:30 | API | service=auth-service | user=admin | ip=192.168.1.12 | POST /api/reports/export | status=200 | rt=890ms | risk=safe:24 | msg="POST /api/reports/export 200 in 890ms (next.js: 24ms, application-code: 864ms)"
2026-07-02T09:59:15+05:30 | API | service=nextjs-app | user=hr_user | ip=192.168.1.10 | GET /api/upload | status=200 | rt=184ms | risk=safe:25 | msg="GET /api/upload 200 in 184ms (next.js: 23ms, application-code: 78ms)"
2026-07-02T10:00:05+05:30 | WEB | service=auth-service | user=manager | ip=192.168.1.12 | GET /reports | status=304 | rt=936ms | risk=safe:11 | msg="GET /reports 304 in 936ms (next.js: 30ms, application-code: 861ms)"
2026-07-02T10:00:53+05:30 | API | service=auth-service | user=john | ip=192.168.1.11 | GET /api/credits-based/get_usd_cost | status=200 | rt=44ms | risk=safe:12 | msg="GET /api/credits-based/get_usd_cost 200 in 44ms (next.js: 41ms, application-code: 36ms)"
2026-07-02T10:01:27+05:30 | API | service=auth-service | user=manager | ip=192.168.1.10 | GET /api/upload | status=200 | rt=480ms | risk=safe:6 | msg="GET /api/upload 200 in 480ms (next.js: 114ms, application-code: 400ms)"
2026-07-02T10:02:00+05:30 | API | service=api-gateway | user=trainer | ip=172.16.0.21 | DELETE /api/get-token | status=301 | rt=213ms | risk=safe:20 | msg="DELETE /api/get-token 301 in 213ms (next.js: 45ms, application-code: 137ms)"
2026-07-02T10:02:15+05:30 | API | service=auth-service | user=hr_user | ip=192.168.1.11 | PATCH /api/auth | status=200 | rt=465ms | risk=safe:17 | msg="PATCH /api/auth 200 in 465ms (next.js: 58ms, application-code: 445ms)"
2026-07-02T10:02:24+05:30 | WEB | service=nextjs-app | user=manager | ip=192.168.1.11 | GET /reports | status=304 | rt=518ms | risk=safe:20 | msg="GET /reports 304 in 518ms (next.js: 52ms, application-code: 400ms)"
2026-07-02T10:03:10+05:30 | API | service=nextjs-app | user=manager | ip=172.16.0.21 | POST /api/lab-proxy | status=200 | rt=313ms | risk=safe:16 | msg="POST /api/lab-proxy 200 in 313ms (next.js: 71ms, application-code: 293ms)"
2026-07-02T10:04:03+05:30 | WEB | service=nextjs-app | user=trainer | ip=192.168.2.15 | GET /billing | status=201 | rt=868ms | risk=safe:15 | msg="GET /billing 201 in 868ms (next.js: 54ms, application-code: 828ms)"
2026-07-02T10:05:12+05:30 | WEB | service=nextjs-app | user=student01 | ip=10.0.0.5 | GET /login | status=204 | rt=47ms | risk=safe:2 | msg="GET /login 204 in 47ms (next.js: 80ms, application-code: 1ms)"
2026-07-02T10:05:53+05:30 | WEB | service=auth-service | user=student01 | ip=192.168.1.11 | GET /settings | status=200 | rt=732ms | risk=safe:14 | msg="GET /settings 200 in 732ms (next.js: 38ms, application-code: 689ms)"
2026-07-02T10:06:39+05:30 | WEB | service=api-gateway | user=manager | ip=172.16.0.33 | GET /dashboard | status=200 | rt=87ms | risk=safe:16 | msg="GET /dashboard 200 in 87ms (next.js: 107ms, application-code: 10ms)"
2026-07-02T10:07:17+05:30 | API | service=nextjs-app | user=guest | ip=192.168.1.10 | PATCH /api/admin/users | status=200 | rt=772ms | risk=safe:23 | msg="PATCH /api/admin/users 200 in 772ms (next.js: 103ms, application-code: 685ms)"
2026-07-02T10:07:41+05:30 | WEB | service=api-gateway | user=admin | ip=10.0.0.5 | GET /settings | status=200 | rt=609ms | risk=safe:11 | msg="GET /settings 200 in 609ms (next.js: 22ms, application-code: 571ms)"
2026-07-02T10:08:56+05:30 | WEB | service=nextjs-app | user=trainer | ip=192.168.2.15 | GET /reports | status=200 | rt=547ms | risk=safe:12 | msg="GET /reports 200 in 547ms (next.js: 24ms, application-code: 435ms)"
2026-07-02T10:09:03+05:30 | API | service=auth-service | user=student02 | ip=192.168.2.15 | DELETE /api/auth | status=201 | rt=782ms | risk=safe:13 | msg="DELETE /api/auth 201 in 782ms (next.js: 25ms, application-code: 776ms)"
2026-07-02T10:09:46+05:30 | WEB | service=auth-service | user=support | ip=192.168.1.12 | GET /learning-paths | status=200 | rt=920ms | risk=safe:3 | msg="GET /learning-paths 200 in 920ms (next.js: 59ms, application-code: 877ms)"
2026-07-02T10:10:12+05:30 | WEB | service=nextjs-app | user=manager | ip=172.16.0.33 | GET /learning-paths | status=200 | rt=944ms | risk=safe:6 | msg="GET /learning-paths 200 in 944ms (next.js: 79ms, application-code: 925ms)"
2026-07-02T10:11:19+05:30 | WEB | service=auth-service | user=guest | ip=172.16.0.33 | GET /settings | status=200 | rt=935ms | risk=safe:14 | msg="GET /settings 200 in 935ms (next.js: 43ms, application-code: 912ms)"
2026-07-02T10:11:31+05:30 | API | service=auth-service | user=student02 | ip=172.16.0.33 | PUT /api/verify-admin-access | status=200 | rt=155ms | risk=safe:4 | msg="PUT /api/verify-admin-access 200 in 155ms (next.js: 63ms, application-code: 65ms)"
2026-07-02T10:12:05+05:30 | API | service=nextjs-app | user=student01 | ip=192.168.1.11 | PATCH /api/verify-admin-access | status=200 | rt=797ms | risk=safe:5 | msg="PATCH /api/verify-admin-access 200 in 797ms (next.js: 64ms, application-code: 737ms)"
2026-07-02T10:12:50+05:30 | API | service=auth-service | user=devops | ip=172.16.0.33 | PATCH /api/get-token | status=301 | rt=344ms | risk=safe:25 | msg="PATCH /api/get-token 301 in 344ms (next.js: 72ms, application-code: 257ms)"
2026-07-02T10:13:38+05:30 | API | service=nextjs-app | user=john | ip=172.16.0.33 | POST /api/reports/export | status=200 | rt=555ms | risk=safe:4 | msg="POST /api/reports/export 200 in 555ms (next.js: 112ms, application-code: 526ms)"
2026-07-02T10:14:07+05:30 | WEB | service=api-gateway | user=analyst | ip=172.16.0.21 | GET /settings | status=200 | rt=273ms | risk=safe:8 | msg="GET /settings 200 in 273ms (next.js: 73ms, application-code: 204ms)"
2026-07-02T10:14:52+05:30 | WEB | service=auth-service | user=hr_user | ip=172.16.0.21 | GET /dashboard | status=200 | rt=196ms | risk=safe:19 | msg="GET /dashboard 200 in 196ms (next.js: 41ms, application-code: 190ms)"
2026-07-02T10:15:58+05:30 | API | service=auth-service | user=student02 | ip=172.16.0.21 | PUT /api/lab-proxy | status=301 | rt=161ms | risk=safe:24 | msg="PUT /api/lab-proxy 301 in 161ms (next.js: 104ms, application-code: 158ms)"
2026-07-02T10:16:09+05:30 | WEB | service=nextjs-app | user=support | ip=172.16.0.33 | GET /SIEM-Learning-path | status=200 | rt=649ms | risk=safe:15 | msg="GET /SIEM-Learning-path 200 in 649ms (next.js: 109ms, application-code: 637ms)"
2026-07-02T10:16:48+05:30 | WEB | service=nextjs-app | user=student02 | ip=192.168.1.12 | GET /courses | status=200 | rt=732ms | risk=safe:14 | msg="GET /courses 200 in 732ms (next.js: 96ms, application-code: 701ms)"
2026-07-02T10:16:54+05:30 | API | service=nextjs-app | user=analyst | ip=172.16.0.33 | GET /api/upload | status=304 | rt=655ms | risk=safe:23 | msg="GET /api/upload 304 in 655ms (next.js: 21ms, application-code: 643ms)"
2026-07-02T10:17:03+05:30 | WEB | service=nextjs-app | user=support | ip=192.168.2.15 | GET /profile | status=200 | rt=716ms | risk=safe:11 | msg="GET /profile 200 in 716ms (next.js: 119ms, application-code: 604ms)"
2026-07-02T10:18:13+05:30 | WEB | service=api-gateway | user=student02 | ip=192.168.1.10 | GET /reports | status=200 | rt=229ms | risk=safe:21 | msg="GET /reports 200 in 229ms (next.js: 74ms, application-code: 185ms)"
2026-07-02T10:19:19+05:30 | WEB | service=nextjs-app | user=john | ip=192.168.1.10 | GET /billing | status=200 | rt=722ms | risk=safe:15 | msg="GET /billing 200 in 722ms (next.js: 19ms, application-code: 610ms)"
2026-07-02T10:20:23+05:30 | WEB | service=api-gateway | user=guest | ip=172.16.0.33 | GET /billing | status=200 | rt=87ms | risk=safe:10 | msg="GET /billing 200 in 87ms (next.js: 119ms, application-code: 48ms)"
2026-07-02T10:20:47+05:30 | WEB | service=api-gateway | user=keerthi | ip=192.168.1.11 | GET /profile | status=200 | rt=140ms | risk=safe:6 | msg="GET /profile 200 in 140ms (next.js: 103ms, application-code: 136ms)"
2026-07-02T10:21:13+05:30 | API | service=nextjs-app | user=student02 | ip=192.168.2.15 | PUT /api/upload | status=200 | rt=937ms | risk=safe:23 | msg="PUT /api/upload 200 in 937ms (next.js: 32ms, application-code: 934ms)"
2026-07-02T10:21:20+05:30 | WEB | service=nextjs-app | user=manager | ip=10.0.0.5 | GET /dashboard | status=304 | rt=442ms | risk=safe:19 | msg="GET /dashboard 304 in 442ms (next.js: 21ms, application-code: 335ms)"
2026-07-02T10:22:28+05:30 | WEB | service=nextjs-app | user=api_bot | ip=172.16.0.21 | GET /settings | status=200 | rt=878ms | risk=safe:9 | msg="GET /settings 200 in 878ms (next.js: 77ms, application-code: 826ms)"
